,date,code,tweet
0,2021-08-23 08:34:31,1429723714912866311,@lexfridman Summarized well
1,2021-08-23 06:50:50,1429697624207106053,@teslaownersSV I never said this!
2,2021-08-23 06:19:01,1429689615707824128,@lexfridman @karpathy My son asked if we would still speak English 7000 years from now. I said probably not. There… https://t.co/3PgPkqIHuR
3,2021-08-21 05:31:39,1428952920838475777,@YourFellowArab Deep cut haha
4,2021-08-21 05:27:08,1428951783615864835,@RationalEtienne Hopefully
5,2021-08-21 05:25:18,1428951320241737732,@WholeMarsBlog @FutureJurvetson @Tesla @karpathy Bot is not directly on the path of accelerating a sustainable ener… https://t.co/8GQWRkwpuW
6,2021-08-21 05:10:27,1428947585662799876,@FutureJurvetson @Tesla @karpathy Pretty wild
7,2021-08-21 04:44:39,1428941091768655881,@TheFavoritist @NASASpaceflight @BocaChicaGal @huslage True
8,2021-08-21 04:26:08,1428936432907821058,Do they even know about the delta variant!?
9,2021-08-20 20:05:36,1428810469943365639,"@panamach2 @Mansoor14769892 ممتاز
 https://t.co/RkIB53zX6f"
10,2021-08-20 20:01:49,1428809514946416642,https://t.co/EOBHkQvFPR
11,2021-08-20 06:38:02,1428607237275066370,@dmitriyTM3 @draecomino Yes
12,2021-08-20 06:14:58,1428601432949673989,@Model3Owners It’s a quintillion (10^18) floating point operations per second – enough to simulate a human brain
13,2021-08-20 03:18:02,1428556907745214473,RT @Tesla: Join us to build the future of AI → https://t.co/Gdd4MNet6q https://t.co/86cXMVnJ59
14,2021-08-20 03:17:42,1428556821061541893,https://t.co/AIUidLiHkK
15,2021-08-20 03:15:53,1428556366344425473,"@teslaownersSV @westcoastbill We have almost all the pieces needed for humanoid robots, since we already make robots with wheels"
16,2021-08-20 00:57:15,1428521477624631297,On now https://t.co/mhHOGt7fdI
17,2021-08-19 04:22:21,1428210703731597316,@vincent13031925 Will make a big difference
